iter	Passed	Remaining
0	165	165763
1	167	83704
2	169	56329
3	171	42745
4	173	34518
5	175	29009
6	177	25202
7	180	22370
8	182	20071
9	183	18209
10	185	16691
11	187	15418
12	188	14348
13	191	13509
14	193	12736
15	195	12033
16	197	11412
17	199	10888
18	201	10387
19	203	9989
20	207	9666
21	209	9309
22	211	8983
23	214	8713
24	216	8438
25	218	8178
26	221	7978
27	223	7755
28	225	7550
29	227	7358
30	230	7197
31	232	7027
32	235	6886
33	237	6735
34	239	6592
35	241	6457
36	243	6329
37	245	6210
38	248	6117
39	250	6007
40	252	5901
41	254	5804
42	256	5719
43	259	5644
44	261	5556
45	263	5471
46	265	5389
47	267	5310
48	269	5238
49	273	5194
50	275	5124
51	277	5057
52	279	4992
53	281	4937
54	283	4872
55	285	4807
56	287	4761
57	289	4705
58	291	4642
59	292	4586
60	294	4532
61	296	4481
62	297	4429
63	299	4378
64	302	4354
65	304	4309
66	306	4268
67	308	4226
68	310	4185
69	312	4146
70	314	4108
71	316	4079
72	319	4054
73	321	4020
74	323	3986
75	325	3953
76	327	3920
77	329	3891
78	331	3860
79	333	3837
80	335	3809
81	337	3781
82	338	3741
83	340	3714
84	342	3688
85	344	3665
86	346	3640
87	349	3626
88	351	3602
89	353	3579
90	355	3555
91	358	3535
92	360	3512
93	362	3491
94	365	3477
95	367	3456
96	369	3435
97	371	3415
98	383	3491
99	387	3491
100	390	3477
101	396	3494
102	402	3509
103	405	3492
104	407	3472
105	415	3504
106	421	3521
107	424	3507
108	429	3511
109	439	3557
110	444	3560
111	447	3544
112	449	3527
113	457	3553
114	459	3537
115	461	3518
116	465	3516
117	468	3503
118	471	3490
119	474	3479
120	478	3475
121	481	3468
122	485	3463
123	488	3453
124	491	3438
125	502	3486
126	521	3586
127	523	3568
128	526	3551
129	532	3561
130	534	3542
131	535	3523
132	537	3503
133	540	3490
134	541	3471
135	547	3479
136	550	3466
137	551	3446
138	554	3432
139	556	3417
140	563	3433
141	566	3421
142	569	3414
143	571	3396
144	583	3442
145	587	3435
146	596	3459
147	598	3443
148	599	3423
149	600	3404
150	602	3390
151	606	3381
152	613	3397
153	616	3384
154	617	3367
155	619	3353
156	621	3339
157	623	3323
158	626	3313
159	628	3297
160	629	3278
161	630	3263
162	632	3247
163	635	3238
164	637	3224
165	640	3216
166	641	3199
167	642	3183
168	644	3169
169	646	3154
170	648	3141
171	650	3130
172	651	3116
173	654	3105
174	656	3095
175	658	3082
176	659	3067
177	661	3054
178	663	3042
179	666	3037
180	671	3039
181	673	3027
182	675	3014
183	677	3002
184	678	2989
185	680	2979
186	682	2968
187	685	2958
188	686	2947
189	688	2937
190	691	2928
191	693	2918
192	695	2907
193	697	2896
194	699	2886
195	700	2874
196	702	2864
197	704	2852
198	706	2841
199	707	2829
200	708	2817
201	711	2812
202	713	2800
203	715	2790
204	717	2781
205	718	2770
206	720	2758
207	721	2748
208	723	2737
209	725	2729
210	727	2719
211	728	2709
212	730	2698
213	731	2687
214	733	2677
215	734	2667
216	736	2657
217	738	2649
218	740	2639
219	741	2630
220	743	2620
221	745	2611
222	746	2602
223	748	2592
224	749	2582
225	751	2573
226	753	2565
227	754	2556
228	756	2547
229	758	2538
230	759	2529
231	761	2519
232	762	2510
233	764	2501
234	765	2492
235	767	2484
236	769	2476
237	771	2469
238	772	2459
239	774	2451
240	775	2443
241	777	2434
242	778	2425
243	780	2418
244	782	2410
245	783	2401
246	785	2393
247	786	2385
248	788	2378
249	790	2370
250	791	2362
251	793	2355
252	795	2349
253	797	2341
254	799	2334
255	800	2327
256	802	2319
257	804	2312
258	805	2305
259	808	2301
260	810	2295
261	812	2289
262	814	2282
263	816	2277
264	818	2271
265	820	2263
266	821	2255
267	823	2249
268	825	2242
269	827	2236
270	828	2228
271	830	2221
272	831	2214
273	833	2207
274	834	2201
275	836	2195
276	838	2188
277	840	2182
278	842	2176
279	844	2170
280	847	2168
281	852	2170
282	854	2164
283	856	2158
284	857	2152
285	860	2148
286	862	2142
287	863	2135
288	865	2130
289	867	2122
290	868	2115
